member_casual,end_station_name,end_count
casual,Streeter Dr & Grand Ave,57810
casual,DuSable Lake Shore Dr & Monroe St,28543
casual,Millennium Park,25676
casual,Michigan Ave & Oak St,25373
casual,DuSable Lake Shore Dr & North Blvd,25305
casual,Theater on the Lake,18649
casual,Shedd Aquarium,18047
casual,Wells St & Concord Ln,14416
casual,Clark St & Armitage Ave,13030
casual,Clark St & Lincoln Ave,12852
casual,Dusable Harbor,12798
casual,Indiana Ave & Roosevelt Rd,11968
casual,Montrose Harbor,11526
casual,Wabash Ave & Grand Ave,11416
casual,Clark St & Elm St,11325
casual,Clark St & Newport St,11063
casual,Wells St & Elm St,10880
casual,Broadway & Barry Ave,10865
casual,Sheffield Ave & Waveland Ave,10850
casual,Michigan Ave & Washington St,10734
casual,LaSalle St & Illinois St,10349
casual,Adler Planetarium,10216
casual,Wilton Ave & Belmont Ave,9971
casual,DuSable Lake Shore Dr & Diversey Pkwy,9701
casual,DuSable Lake Shore Dr & Belmont Ave,9668
casual,Michigan Ave & 8th St,9658
casual,Clark St & Wrightwood Ave,9613
casual,McClurg Ct & Ohio St,9477
casual,Michigan Ave & Lake St,9296
casual,Lakeview Ave & Fullerton Pkwy,9197
casual,Larrabee St & Webster Ave,9186
casual,Dearborn St & Erie St,9061
casual,Damen Ave & Pierce Ave,8928
casual,New St & Illinois St,8874
casual,Halsted St & Roscoe St,8798
casual,Wells St & Evergreen Ave,8737
casual,DuSable Lake Shore Dr & Wellington Ave,8489
casual,Wells St & Huron St,8382
casual,St. Clair St & Erie St,8247
casual,Fairbanks Ct & Grand Ave,8240
casual,Ashland Ave & Division St,8039
casual,Clark St & Drummond Pl,7877
casual,Lincoln Ave & Fullerton Ave,7868
casual,Wabash Ave & Roosevelt Rd,7807
casual,Southport Ave & Roscoe St,7699
casual,State St & Randolph St,7571
casual,Broadway & Cornelia Ave,7537
casual,Halsted St & Wrightwood Ave,7428
casual,Michigan Ave & Jackson Blvd,7426
casual,Sheffield Ave & Fullerton Ave,7318
casual,Wells St & Hubbard St,7297
casual,Dearborn Pkwy & Delaware Pl,7255
casual,Kingsbury St & Kinzie St,7237
casual,Pine Grove Ave & Waveland Ave,7060
casual,Green St & Madison St,7055
casual,Southport Ave & Waveland Ave,7031
casual,Sheffield Ave & Wrightwood Ave,6997
casual,Broadway & Waveland Ave,6885
casual,Wabash Ave & Wacker Pl,6834
casual,Clark St & Schiller St,6828
