member_casual,start_station_name,start_count
casual,Streeter Dr & Grand Ave,55061
casual,DuSable Lake Shore Dr & Monroe St,30262
casual,Millennium Park,23951
casual,Michigan Ave & Oak St,23761
casual,DuSable Lake Shore Dr & North Blvd,22157
casual,Shedd Aquarium,19421
casual,Theater on the Lake,17333
casual,Wells St & Concord Ln,14834
casual,Dusable Harbor,13271
casual,Clark St & Armitage Ave,12779
casual,Indiana Ave & Roosevelt Rd,12752
casual,Clark St & Lincoln Ave,12470
casual,Clark St & Elm St,11979
casual,Montrose Harbor,11677
casual,Wells St & Elm St,11482
casual,Adler Planetarium,10954
casual,Wabash Ave & Grand Ave,10804
casual,Clark St & Newport St,10800
casual,Michigan Ave & 8th St,10740
casual,Broadway & Barry Ave,10609
casual,Michigan Ave & Washington St,10444
casual,Wilton Ave & Belmont Ave,10365
casual,LaSalle St & Illinois St,9960
casual,New St & Illinois St,9955
casual,DuSable Lake Shore Dr & Diversey Pkwy,9590
casual,Clark St & Wrightwood Ave,9538
casual,Larrabee St & Webster Ave,9494
casual,DuSable Lake Shore Dr & Belmont Ave,9421
casual,Lakeview Ave & Fullerton Pkwy,9284
casual,Michigan Ave & Lake St,9186
casual,McClurg Ct & Ohio St,8981
casual,Sheffield Ave & Waveland Ave,8924
casual,Wells St & Evergreen Ave,8886
casual,Wells St & Huron St,8860
casual,Dearborn St & Erie St,8663
casual,Halsted St & Roscoe St,8581
casual,DuSable Lake Shore Dr & Wellington Ave,8392
casual,Clark St & Drummond Pl,8300
casual,Damen Ave & Pierce Ave,8270
casual,Kingsbury St & Kinzie St,8091
casual,Ashland Ave & Division St,8057
casual,Sheffield Ave & Fullerton Ave,7992
casual,Wells St & Hubbard St,7984
casual,Lincoln Ave & Fullerton Ave,7940
casual,Wabash Ave & Roosevelt Rd,7740
casual,St. Clair St & Erie St,7739
casual,Southport Ave & Roscoe St,7691
casual,Halsted St & Wrightwood Ave,7688
casual,Michigan Ave & Jackson Blvd,7549
casual,Fairbanks Ct & Grand Ave,7434
casual,Broadway & Cornelia Ave,7405
casual,Sheffield Ave & Wrightwood Ave,7332
casual,Green St & Madison St,7240
casual,Broadway & Waveland Ave,7201
casual,Southport Ave & Waveland Ave,7192
casual,Clark St & Schiller St,7138
casual,State St & Randolph St,7137
casual,Dearborn Pkwy & Delaware Pl,7057
casual,Lincoln Park Conservatory,6943
casual,Field Museum,6858
casual,Pine Grove Ave & Waveland Ave,6830
casual,Halsted St & Clybourn Ave,6821
casual,Sheffield Ave & Wellington Ave,6708
casual,Clinton St & Madison St,6689
casual,Columbus Dr & Randolph St,6627
casual,Rush St & Cedar St,6620
casual,Clark St & Wellington Ave,6588
casual,State St & Chicago Ave,6544
casual,Sheffield Ave & Webster Ave,6529
casual,Wabash Ave & Wacker Pl,6461
casual,Broadway & Belmont Ave,6267
casual,Wilton Ave & Diversey Pkwy,6252
casual,Halsted St & Dickens Ave,6230
casual,Sedgwick St & North Ave,6193
casual,Racine Ave & Belmont Ave,6179
casual,Federal St & Polk St,6160
casual,Sheridan Rd & Irving Park Rd,6141
casual,Stockton Dr & Wrightwood Ave,6097
casual,Mies van der Rohe Way & Chestnut St,6095
casual,Desplaines St & Kinzie St,5916
casual,Canal St & Adams St,5848
casual,Wabash Ave & 9th St,5822
casual,Franklin St & Jackson Blvd,5816
casual,Lakefront Trail & Bryn Mawr Ave,5788
casual,Buckingham Fountain,5784
casual,Clark St & North Ave,5781
casual,Clark St & Grace St,5720
casual,Kedzie Ave & Milwaukee Ave,5664
casual,Cityfront Plaza Dr & Pioneer Ct,5548
casual,Field Blvd & South Water St,5488
casual,Milwaukee Ave & Grand Ave,5398
casual,State St & Kinzie St,5359
casual,Clinton St & Washington Blvd,5320
casual,Clark St & Lake St,5318
casual,Rush St & Superior St,5281
casual,Sedgwick St & Webster Ave,5272
casual,Mies van der Rohe Way & Chicago Ave,5266
casual,California Ave & Milwaukee Ave,5206
casual,Clark St & Winnemac Ave,5200
casual,Michigan Ave & Pearson St,5194
casual,McClurg Ct & Erie St,5188
casual,Damen Ave & Cortland St,5146
