member_casual,start_hour,ride_count
casual,0,33312
casual,1,21340
casual,2,12672
casual,3,7200
casual,4,4660
casual,5,8418
casual,6,21678
casual,7,37866
casual,8,52235
casual,9,54615
casual,10,72356
casual,11,94724
casual,12,111669
casual,13,115921
casual,14,122707
casual,15,135567
casual,16,151997
casual,17,169895
casual,18,150233
casual,19,114087
casual,20,83097
casual,21,71177
casual,22,63873
casual,23,46890
member,0,25223
member,1,15565
member,2,8594
member,3,5243
member,4,6160
member,5,26083
member,6,75876
member,7,143251
member,8,167021
member,9,112439
member,10,104176
member,11,124954
member,12,144071
member,13,141631
member,14,141262
member,15,172039
member,16,232585
member,17,281240
member,18,223753
member,19,159566
member,20,110459
member,21,85432
member,22,63914
member,23,40634
