member_casual,month,ride_count
casual,April,91897
casual,August,270095
casual,December,31505
casual,February,15144
casual,January,12605
casual,July,311678
casual,June,292068
casual,March,67156
casual,May,220246
casual,November,73556
casual,October,151324
casual,September,220915
member,April,180663
member,August,335230
member,December,103898
member,February,74034
member,January,67523
member,July,331002
member,June,328282
member,March,148827
member,May,282299
member,November,182238
member,October,262945
member,September,314230
